Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32
ambient_temperature_system_failure,0.120934464,-1.0924718,1.5978783,0.082874775,-0.51153636,-0.17091915,-1.6681212,1.1643785,0.85444415,0.41269398,-1.8169296,0.280851,-1.2785894,-0.8015042,1.0838292,0.04258869,1.0187749,-0.046092592,-0.58315724,0.08909412,-0.5323667,-1.4363827,0.9283246,0.7361504,-2.0565493,-1.7553259,-1.7865142,2.1490679,0.71612096,-0.3235265,-1.4114392,1.2997128
art_daily_flatmiddle,2.628427,-2.800136,1.5732001,1.0602168,-0.9881329,-2.9412942,-1.142677,1.2047218,0.7097833,-0.567851,-2.335016,2.3161085,-3.135735,-2.3489,2.1377778,-0.005812343,-0.088131845,2.0003984,2.9043465,0.858834,0.95129424,-1.4956563,-2.019645,3.5844326,-0.79367584,-3.179272,-0.9475449,0.99592805,0.07000619,0.63118666,-1.8898953,1.037928
art_daily_jumpsdown,1.9330827,-1.9331415,0.77088976,1.372474,-0.5890057,-2.8571973,-0.67112523,0.98558974,0.19738026,-0.9962259,-1.8564011,2.5969467,-2.4063501,-2.850382,1.5368546,0.3014183,0.95556885,2.1758904,2.1864405,0.25279155,1.1508598,-2.003527,-0.5836027,3.108336,-0.38631114,-3.1306865,-0.47625962,0.46186665,0.17326832,1.0702684,-0.54482824,-0.029867698
art_daily_jumpsup,2.812681,-1.9562045,0.7474346,0.6638179,-0.26397464,-1.8374251,-1.0098182,0.8904556,0.35414577,0.4709529,-2.9135544,2.576249,-1.9917829,-2.0692313,1.3115937,0.16040383,0.12516649,1.9973334,2.129631,0.68591696,0.36383116,-1.4005964,-1.8714069,2.9505565,-0.63935995,-2.5756772,-1.0450329,1.1564242,-0.60705304,0.5175126,-1.5556452,0.76187146
art_daily_nojump,2.015862,-1.716365,1.0651463,1.5531394,-0.6026961,-2.5708592,-1.0025923,0.9771926,0.51575005,-1.3151631,-1.7351112,2.4053733,-2.5069122,-2.6090126,1.9510493,0.329772,1.4415638,2.049587,1.5910431,0.42439434,1.1534262,-1.761212,-0.4218308,3.1987884,-0.49289104,-3.1799822,-0.42314368,0.39310613,0.6147617,1.3313599,-0.7240475,0.27337822
art_increase_spike_density,-0.0069793426,-2.064463,2.9096298,3.6784003,-3.1343715,-0.6896949,-2.0983112,2.1766517,2.7331944,-5.6047072,-0.19446193,1.7989705,-3.4546494,-3.1584876,6.0272493,0.12726524,3.1475456,1.7555465,0.6664445,0.2284294,3.8931508,-0.2906613,0.9092093,4.2144837,-3.3086479,-6.5140414,-1.10167,-1.4187326,2.7586215,1.7000589,-3.8370287,3.5508533
art_load_balancer_spikes,0.4904631,-1.1764221,0.5922191,-0.5530183,-0.37122017,-0.85057455,-0.5967427,1.2823839,0.42923445,0.5917548,-1.0476652,0.3353178,-1.8512396,-0.97723883,1.1817482,0.38059193,-0.422574,0.21590987,0.6177791,0.8032551,-0.11183877,-0.5479884,0.11962601,1.1604384,-0.8359361,-1.1190244,-1.1360276,0.34856814,0.12296731,-0.41515636,-1.0408423,1.4335065
cpu_utilization_asg_misconfiguration,0.026177954,-0.84702563,1.3055092,2.0057285,-2.6837816,0.18467988,-2.9969096,3.416387,3.0257797,-4.046602,-2.268919,2.2910492,-4.965304,-2.9510875,3.917479,-0.34380388,3.2824078,-0.914884,-2.2128692,0.14574853,5.3161874,-0.37986133,1.980965,2.8361773,-5.4146137,-6.5876527,-3.5314703,-1.2016194,1.8686016,1.0235922,-5.1918306,3.9336596
ec2_cpu_utilization_53ea38,-2.1802542,-5.1727257,6.2130456,2.882923,-11.11229,-3.2735848,-4.968931,7.079469,4.086552,-7.808892,6.194976,2.418215,-9.1723175,-6.1728454,9.526895,-2.7427306,4.539432,7.6149135,6.822459,7.6679864,0.22864792,2.3970623,2.0089839,9.054777,-6.455267,-9.33157,2.2015734,-2.026396,-0.8756838,-1.859241,-8.705502,5.1457524
ec2_cpu_utilization_5f5533,0.5769976,-3.077596,7.525172,-6.3671875,-12.563193,-3.6123562,-8.308922,3.9958508,-2.9699936,-0.4589914,0.8214889,1.2796502,-9.343176,-2.3483253,9.168244,0.11322485,-2.1694407,4.262838,4.563419,12.301971,4.343567,-3.3572192,5.929978,10.811874,-4.819832,-4.687215,-2.363289,-3.4295576,7.0670457,4.9539757,-2.9523172,8.909821
ec2_cpu_utilization_24ae8d,-0.036245845,-1.147897,1.1465839,-0.1375187,-0.8688713,0.33613223,-1.7811302,0.64126074,1.8010721,-1.2097374,0.26677388,0.9306934,-1.1491184,0.039942853,2.229891,0.5925071,0.8065383,-0.529141,-0.20615244,1.4536264,0.16375193,0.4572318,1.4453124,1.8116544,-1.1238585,-1.1907425,-0.54914993,0.34895375,0.66523397,0.46433738,-1.1053007,0.9792567
ec2_cpu_utilization_77c1ca,1.1073104,-1.7037129,1.2659969,0.66476977,-0.33924103,-1.525906,-0.69904494,0.52715313,0.7972804,0.24417377,-1.920116,0.897876,-1.9369736,-1.2484211,1.5422044,-0.4522068,0.096312635,0.964494,1.0820264,0.4731735,-0.316228,-0.9067531,-0.5926956,1.5151157,-0.89190966,-1.8487804,-1.2968093,0.751832,0.3042525,-0.35810378,-1.2563956,1.1968501
ec2_cpu_utilization_825cc2,-0.16052854,-1.360675,1.7285681,1.2982886,-1.984686,0.30748463,-1.545111,1.0197095,2.196085,-3.1206703,0.26276886,1.265964,-2.1702218,-0.9931429,4.0844746,0.44898716,1.2753117,0.54501605,0.15567288,1.0290806,2.1505485,0.52158403,1.4689455,2.6277528,-1.9533178,-3.0527916,-0.49336424,-1.2057953,1.8921561,1.3668544,-2.028838,2.0771215
ec2_cpu_utilization_ac20cd,0.9802456,-0.8264111,0.17160872,0.1283098,0.29058257,-1.0759447,-0.7077011,0.8490866,-0.27083412,0.7414831,-2.7179463,2.0445242,-0.9325155,-1.4880346,0.8067142,0.062429234,0.021875698,1.5063436,1.0688447,0.035143528,-0.24529013,-1.7742068,-0.345767,1.9098327,-0.5201707,-2.0783954,-1.295603,1.2390325,-0.7033608,-0.1285859,-0.84399277,0.15710251
ec2_cpu_utilization_fe7f93,1.2485325,-1.6697873,1.2640891,-0.07453563,-0.37628597,-1.0270468,-1.3255489,1.2461481,0.88351303,0.025596336,-1.2123755,0.3486017,-2.218223,-1.1455756,1.7642107,0.043936945,0.18016407,-0.124622405,0.5845287,1.0480813,-0.01454442,-0.54909366,-0.0029917248,1.6678424,-0.8611872,-1.5161605,-1.2436285,0.43418685,0.34700888,-0.032280978,-1.2057229,1.4647532
ec2_disk_write_bytes_1ef3de,3.7668438,9.134649,-11.051338,12.890744,-7.8563075,-1.194378,4.095692,1.3608766,3.0825486,4.415799,-6.385983,19.341652,-10.942207,-11.916307,3.4944804,-6.064249,9.230971,12.934338,-4.6710167,7.038415,5.6218977,-0.25112516,1.8862171,4.409289,-3.5476997,-6.232118,-9.661238,2.6924217,0.03506621,-4.7153206,-13.491112,-3.7916994
ec2_disk_write_bytes_c0d644,-1.4780077,7.1166387,-4.1320386,9.58038,-3.4219518,5.491484,-7.0801272,-6.816012,10.681223,12.106648,-14.577003,19.42166,-8.903448,-10.931824,8.866403,0.8518077,11.873438,12.663845,-13.590367,3.526389,-5.2693453,1.1713636,10.280556,1.0239146,-5.3881946,-6.2937827,-12.377207,2.907601,4.2892528,-4.500974,-10.127943,0.82286686
ec2_network_in_257a54,-0.88510126,0.7373044,-0.44816843,1.3091669,-1.0500703,0.61628675,-0.8424952,-0.6447777,0.8793217,2.186678,-2.7842274,2.6802683,-1.0315225,-1.3157725,0.97072107,-0.31822687,0.553059,2.167755,-1.214799,0.11330336,-0.20577073,-0.4795694,1.0235404,-0.7289914,-1.8073677,-0.630224,-2.8977244,1.5170022,1.4310273,-1.57583,-2.2089317,-0.041890446
ec2_request_latency_system_failure,1.1576694,-1.487059,1.6051537,-0.6446659,-2.794912,-1.4075508,-1.00442,1.7391623,-1.0777562,0.43849507,-0.2758164,0.08373858,-2.308628,-0.9147352,1.1662706,-0.9868357,-0.8749326,1.1506344,2.0911117,2.1927552,0.31831396,-0.25622725,-0.7068809,2.235944,-0.63174474,-1.4531087,-0.50428444,0.23978335,0.25285804,-0.2484921,-1.5839117,1.7744147
ec2_network_in_5abac7,1.1378876,-0.2883227,0.59193385,0.4889277,-0.9975042,-0.9862574,-0.71270823,1.1127331,-0.44103602,0.07121827,-0.56421673,0.35638627,-1.6103307,-1.5033556,0.29403245,-0.7487439,0.9866383,0.27003905,0.42310533,0.720448,0.28896168,-0.27132395,-0.1898013,1.10452,-0.39030382,-1.5093868,-0.4926762,0.26594278,0.2818029,-0.14556548,-0.91085184,0.47550854
