Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,target
Yahoo_A1real_1_data,0.83467805,-1.3439057,0.59505916,2.2825243,-3.7874303,0.6241042,-0.8252086,0.18708073,0.802452,-1.9150234,0.48822904,0.16446742,-2.215341,-0.12066853,-0.1739673,0.63338614,4
Yahoo_A1real_2_data,4.156529,0.7733449,2.153743,0.32270592,-2.7256086,-1.9087154,-1.764475,2.1526332,-0.13580742,-1.8141154,0.38376528,-2.1072755,-2.72856,2.2842364,0.20479079,-2.6800025,4
Yahoo_A1real_3_data,3.3159096,3.3799713,6.8561287,1.411695,-5.607232,-2.5417967,-4.2252307,3.0648918,-2.0791507,-4.769228,-0.44225538,-4.694012,-2.64394,-0.21312988,1.5232471,-1.0032752,4
Yahoo_A1real_4_data,1.7585708,-1.0565661,0.3148533,1.2042066,-2.01641,0.033092156,-0.7597797,0.71806,1.2576852,-2.0519843,-0.44033572,-0.8725452,-1.952487,-0.19759731,-0.46779323,0.45603168,4
Yahoo_A1real_5_data,2.0102055,0.21431397,0.41014463,2.4851234,-4.0794406,2.9862835,-1.6642526,-0.13490723,1.2121137,-2.319988,1.0031114,-1.1624734,-1.2808553,-0.6057429,-0.8331286,1.2093062,4
Yahoo_A1real_6_data,3.2731829,1.8613678,3.3066645,1.9375331,-3.5357087,-0.5875882,-3.2793076,2.7217114,0.34493107,-3.8707664,-0.35581312,-3.8653395,-2.2700863,-0.9282111,-0.29695642,0.07440124,4
Yahoo_A1real_7_data,2.5994637,-0.82225764,1.1534859,0.19882488,-1.8368313,-1.6438165,-1.9149493,1.221135,-0.19512644,-0.856535,-0.19635876,-1.4002666,-2.4308834,1.3730228,-0.6145741,-0.8952117,4
Yahoo_A1real_8_data,1.6739576,-0.98695666,-0.6989932,0.5636334,-1.4791107,-0.1665134,-0.53656346,0.31694174,1.6596385,-1.5242815,-0.5902282,0.73865235,-1.4799411,-0.026273038,0.068768606,0.6794077,0
Yahoo_A1real_9_data,2.8486884,0.46152848,0.95263714,2.8941536,-5.030768,2.979111,-1.7577126,-0.08530478,1.0372891,-2.205226,1.6374512,-1.1518228,-1.8902904,-0.8038354,-0.30617255,0.3370652,4
Yahoo_A1real_10_data,3.5137665,5.790805,1.6516947,6.8925786,-8.376894,3.1713216,-5.3862834,-0.8810898,2.0774622,-0.32324407,1.2994894,-1.9390281,-2.8844004,-0.9430148,-0.83904624,1.3052677,4
